ts,used_mib,free_mib
1780337257.603365692,10257, 1837
1780337258.647420633,10257, 1837
1780337259.689189224,10257, 1837
1780337260.738197108,10257, 1837
1780337261.777562530,10257, 1837
1780337262.816477795,10257, 1837
1780337263.857676378,10257, 1837
1780337264.895066488,10257, 1837
1780337265.941102150,10257, 1837
1780337266.982011811,10257, 1837
1780337268.020345926,10257, 1837
1780337269.059353461,10257, 1837
1780337270.099936721,10257, 1837
1780337271.141663650,10257, 1837
1780337272.186131158,10257, 1837
1780337273.231298140,10257, 1837
1780337274.276206214,10257, 1837
1780337275.322253787,10257, 1837
1780337276.367555280,10257, 1837
1780337277.407455302,10257, 1837
1780337278.447714236,10257, 1837
1780337279.486529622,10257, 1837
1780337280.528554138,10257, 1837
1780337281.567665600,10257, 1837
1780337282.608959339,10257, 1837
1780337283.649670029,10257, 1837
1780337284.690142682,10257, 1837
1780337285.737338060,10257, 1837
1780337286.796874568,10257, 1837
1780337287.839623060,10257, 1837
1780337288.881172776,10257, 1837
1780337289.928805586,10257, 1837
1780337290.975491236,10257, 1837
1780337292.017247231,10257, 1837
1780337293.059200628,10257, 1837
1780337294.100495519,10257, 1837
1780337295.145377499,10257, 1837
1780337296.191954610,10257, 1837
1780337297.252630955,10257, 1837
1780337298.291777668,10257, 1837
1780337299.337708474,10257, 1837
1780337300.375004083,10257, 1837
1780337301.416650237,10257, 1837
1780337302.456164680,10257, 1837
1780337303.498096745,10257, 1837
1780337304.536540324,10257, 1837
1780337305.574463260,10257, 1837
1780337306.621066537,10257, 1837
1780337307.668970436,10257, 1837
1780337308.711746544,10257, 1837
1780337309.752357635,10257, 1837
1780337310.794078820,10257, 1837
1780337311.835789831,10257, 1837
1780337312.883373767,10257, 1837
1780337313.926860832,10257, 1837
1780337314.970793054,10257, 1837
1780337316.008922031,10257, 1837
1780337317.048864149,10257, 1837
1780337318.091237485,10257, 1837
1780337319.134656043,10257, 1837
1780337320.183806717,10257, 1837
1780337321.223510612,10257, 1837
1780337322.265276600,10257, 1837
1780337323.312973886,10257, 1837
1780337324.352136953,10257, 1837
1780337325.394411878,10257, 1837
1780337326.440329072,10257, 1837
1780337327.479362412,10257, 1837
1780337328.517809283,10257, 1837
1780337329.558392861,10257, 1837
1780337330.595185310,10257, 1837
1780337331.631930727,10257, 1837
1780337332.675937359,10257, 1837
1780337333.716815239,10257, 1837
1780337334.761947159,10257, 1837
1780337335.802433114,10257, 1837
1780337336.849887384,10257, 1837
1780337337.898721275,10257, 1837
1780337338.940689575,10257, 1837
1780337339.979770235,10257, 1837
1780337341.027221051,10257, 1837
1780337342.066987556,10257, 1837
1780337343.109503283,10257, 1837
1780337344.147998520,10257, 1837
1780337345.188187536,10257, 1837
1780337346.228131438,10257, 1837
1780337347.276195073,10257, 1837
1780337348.318184637,10257, 1837
1780337349.357441892,10257, 1837
1780337350.398214069,10257, 1837
1780337351.439501113,10257, 1837
1780337352.482716034,10257, 1837
1780337353.526561480,10257, 1837
1780337354.574031651,10257, 1837
1780337355.617355533,10257, 1837
1780337356.655660190,10257, 1837
1780337357.705455915,10257, 1837
1780337358.743808173,10257, 1837
1780337359.783198470,10257, 1837
1780337360.831002715,10258, 1836
1780337361.870833183,10258, 1836
1780337362.912268907,10258, 1836
1780337363.954932665,10258, 1836
1780337364.993708411,10258, 1836
1780337366.037100701,10257, 1837
1780337367.080791163,10257, 1837
1780337368.126486523,10257, 1837
1780337369.170289084,10257, 1837
1780337370.219056892,10257, 1837
1780337371.257540991,10257, 1837
1780337372.303102331,10257, 1837
1780337373.341291635,10257, 1837
1780337374.380021254,10257, 1837
1780337375.418568256,10257, 1837
1780337376.465003903,10257, 1837
1780337377.513007090,10257, 1837
1780337378.556177615,10257, 1837
1780337379.605861685,10257, 1837
1780337380.645228646,10257, 1837
1780337381.696448287,10257, 1837
1780337382.750175886,10257, 1837
1780337383.789377457,10257, 1837
1780337384.833589115,10257, 1837
1780337385.878934940,10257, 1837
1780337386.918090261,10257, 1837
1780337387.960565278,10257, 1837
1780337389.003880776,10257, 1837
1780337390.041054052,10257, 1837
1780337391.079209816,10257, 1837
1780337392.116651231,10257, 1837
1780337393.154687998,10257, 1837
1780337394.200670150,10257, 1837
1780337395.244245059,10257, 1837
1780337396.286922925,10257, 1837
1780337397.324530712,10257, 1837
1780337398.364609135,10257, 1837
1780337399.409600433,10257, 1837
1780337400.448866925,10257, 1837
1780337401.495606239,10257, 1837
1780337402.543122385,10257, 1837
1780337403.586258014,10257, 1837
1780337404.628535164,10257, 1837
1780337405.679650145,10257, 1837
1780337406.717380484,10257, 1837
1780337407.754763992,10257, 1837
1780337408.799386744,10257, 1837
1780337409.843772684,10257, 1837
1780337410.891909384,10257, 1837
1780337411.938191913,10257, 1837
1780337412.980419681,10257, 1837
1780337414.025203832,10257, 1837
1780337415.068777882,10257, 1837
1780337416.112347056,10257, 1837
1780337417.151601111,10257, 1837
1780337418.192083658,10257, 1837
1780337419.230189167,10257, 1837
1780337420.274500983,10257, 1837
1780337421.317894073,10257, 1837
1780337422.360278448,10257, 1837
1780337423.406373538,10257, 1837
1780337424.449411782,10257, 1837
1780337425.493417803,10257, 1837
1780337426.553354154,10257, 1837
1780337427.598200536,10257, 1837
1780337428.656592475,10257, 1837
1780337429.706582992,10257, 1837
1780337430.750154388,10257, 1837
1780337431.799415847,10257, 1837
1780337432.837422460,10257, 1837
1780337433.885128219,10257, 1837
1780337434.924584514,10257, 1837
1780337435.969680340,10257, 1837
1780337437.015733582,10257, 1837
1780337438.064669703,10257, 1837
1780337439.106832376,10257, 1837
1780337440.152166233,10257, 1837
1780337441.195696029,10257, 1837
1780337442.241384444,10257, 1837
1780337443.282129278,10257, 1837
1780337444.321030031,10257, 1837
1780337445.359906674,10257, 1837
1780337446.404973673,10257, 1837
1780337447.449734727,10257, 1837
1780337448.491378173,10257, 1837
1780337449.534417255,10257, 1837
1780337450.576676465,10257, 1837
1780337451.624037416,10257, 1837
1780337452.664975164,10257, 1837
1780337453.705987397,10257, 1837
1780337454.747644215,10257, 1837
1780337455.789929908,10257, 1837
1780337456.838714829,10257, 1837
1780337457.887259849,10257, 1837
1780337458.931707580,10257, 1837
1780337459.981103277,10257, 1837
1780337461.023769303,10257, 1837
1780337462.065161072,10257, 1837
1780337463.103855704,10257, 1837
1780337464.144359479,10257, 1837
1780337465.187868277,10257, 1837
1780337466.227480529,10257, 1837
1780337467.269106570,10257, 1837
1780337468.308956506,10257, 1837
1780337469.426643780,10257, 1837
1780337470.468354361,10257, 1837
1780337471.513513082,10257, 1837
1780337472.553941966,10257, 1837
1780337473.593870169,10257, 1837
1780337474.639331334,10257, 1837
1780337475.680136634,10257, 1837
1780337476.717981103,10257, 1837
1780337477.758744055,10257, 1837
1780337478.800322026,10257, 1837
1780337479.839789920,10257, 1837
1780337480.879873826,10257, 1837
1780337481.921854441,10257, 1837
1780337482.963093902,10257, 1837
1780337484.012628450,10257, 1837
1780337485.053897197,10257, 1837
1780337486.098597629,10257, 1837
1780337487.137195343,10257, 1837
1780337488.182924971,10257, 1837
1780337489.228550615,10257, 1837
1780337490.272977890,10257, 1837
1780337491.318311497,10257, 1837
1780337492.360994597,10257, 1837
1780337493.406080639,10257, 1837
1780337494.445448459,10257, 1837
1780337495.485830767,10257, 1837
1780337496.531028018,10257, 1837
1780337497.578124605,10257, 1837
1780337498.617461542,10257, 1837
1780337499.662486304,10257, 1837
1780337500.711272772,10257, 1837
1780337501.750068956,10257, 1837
1780337502.806593415,10257, 1837
1780337503.850040706,10257, 1837
1780337504.893124588,10257, 1837
1780337505.932828539,10257, 1837
1780337506.973806031,10257, 1837
