ts,used_mib,free_mib
1780257541.783345459,4510, 7584
1780257542.823035088,5480, 6614
1780257543.863658879,9280, 2814
1780257544.901884122,9350, 2744
1780257545.958537913,9528, 2566
1780257547.000917470,9542, 2552
1780257548.042511770,9515, 2579
1780257549.082467806,9542, 2552
1780257550.120429391,9527, 2567
1780257551.160268571,9552, 2542
1780257552.206419173,9524, 2570
1780257553.245476523,9524, 2570
1780257554.279079398,9538, 2556
1780257555.318252439,9524, 2570
1780257556.354110345,9554, 2540
1780257557.392763546,9554, 2540
1780257558.432554273,9554, 2540
1780257559.475484994,9527, 2567
1780257560.517433317,9525, 2569
1780257561.565764329,9525, 2569
1780257562.613144148,9540, 2554
1780257563.655615308,9554, 2540
1780257564.697482976,9554, 2540
1780257565.736551467,9538, 2556
1780257566.774762448,9525, 2569
1780257567.816975584,9552, 2542
1780257568.853412448,9524, 2570
1780257569.895471224,9532, 2562
1780257570.936858519,9518, 2576
1780257571.978921376,9540, 2554
1780257573.023148231,9540, 2554
1780257574.062285509,9554, 2540
1780257575.102353607,9554, 2540
1780257576.147868551,9527, 2567
1780257577.183228531,9552, 2542
1780257578.222791829,9538, 2556
1780257579.257229009,9524, 2570
1780257580.310808221,9538, 2556
1780257581.412934233,9538, 2556
1780257582.467606436,9554, 2540
1780257583.529907127,9540, 2554
1780257584.572267583,9540, 2554
1780257585.608839230,9554, 2540
1780257586.650658011,9524, 2570
1780257587.691131298,753, 11341
1780257588.731866297,753, 11341
1780257589.803429505,752, 11342
1780257590.851332790,752, 11342
1780257591.891378511,752, 11342
1780257592.936145360,752, 11342
1780257593.976319608,753, 11341
1780257595.023897199,739, 11355
1780257596.127394749,783, 11311
1780257597.230794201,783, 11311
1780257598.272430951,783, 11311
1780257599.313898314,770, 11324
1780257600.355709427,6359, 5735
1780257601.392806392,8819, 3275
1780257602.433865552,8819, 3275
1780257603.479132604,8833, 3261
1780257604.517308422,8833, 3261
1780257605.556372320,8819, 3275
1780257606.592447574,8833, 3261
1780257607.631275649,8833, 3261
1780257608.696614405,8819, 3275
